time,lat,lon,alt,tas,heading,pitch,roll,flight_phase,throttle,target_pitch,target_roll,dist_to_dest,fuel,mass
1756.0,36.777622011848145,115.98347577064656,11125.629848209013,243.7120934619229,188.16494652950962,2.4228786177261634,-0.005529675530269174,CRUISE,0.5189242557909377,2.4228786177261634,-0.005529675530269174,1585912.8250429358,15499.827580165635,68899.82758016564
1758.0,36.77328568270567,115.98269911988557,11133.946345601711,243.59278144220954,188.16415307433354,3.841886350638032,-0.006061247834907135,CRUISE,0.5170790653807708,3.841886350638032,-0.006061247834907135,1585425.7107465372,15498.730657546705,68898.73065754671
1760.0,36.76894635750038,115.98192200534926,11129.162567261117,243.73712027451046,188.16385414884863,3.339995289190635,-0.005576972594880658,CRUISE,0.5182721855779044,3.339995289190635,-0.005576972594880658,1584938.2602573636,15497.631953166714,68897.63195316671
1762.0,36.76461303676331,115.98114607542479,11141.81975733843,243.4699834636208,188.16317497285087,4.550855749601524,-0.005835305911858768,CRUISE,0.5168287972548953,4.550855749601524,-0.005835305911858768,1584451.4850969084,15496.535927074956,68896.53592707496
1764.0,36.76027746952215,115.98036981046309,11136.611731425895,243.5276723427716,188.16293285540087,3.424317421840379,-0.005521589726029674,CRUISE,0.5195001653637918,3.424317421840379,-0.005521589726029674,1583964.4578750432,15495.435323794814,68895.43532379481
1766.0,36.755933055823796,115.97959204311778,11124.460465167565,244.08601454861727,188.16254477870822,2.310201809916162,-0.005864306437274536,CRUISE,0.5189232765722838,2.310201809916162,-0.005864306437274536,1583476.437378826,15494.335462344625,68894.33546234462
1768.0,36.75159228347417,115.97881504521881,11135.177175509913,243.86427624514718,188.16178231261893,4.154625378233315,-0.005989612988201998,CRUISE,0.5133398545138271,4.154625378233315,-0.005989612988201998,1582988.8268562087,15493.246593325604,68893.2465933256
1770.0,36.74724942904622,115.97803774560357,11131.223593638031,243.93018254339768,188.16150286206005,3.4741234800462175,-0.005551818452474322,CRUISE,0.515557237548528,3.4741234800462175,-0.005551818452474322,1582500.9827894708,15492.153938080717,68892.15393808071
1772.0,36.742912612291505,115.97726163480411,11143.706779024462,243.66260646465454,188.1608357777038,4.55162019205561,-0.00583926945627411,CRUISE,0.514898174566023,4.55162019205561,-0.00583926945627411,1582013.8177631623,15491.062331716736,68891.06233171673
1774.0,36.738573598020224,115.97648518542721,11126.82137156004,243.85220625767772,188.1607238824515,2.358443883628379,-0.005543619289014146,CRUISE,0.5175739353534544,2.358443883628379,-0.005543619289014146,1581526.4060210781,15489.966118671211,68889.9661186712
1776.0,36.73423431397601,115.97570880843425,11134.525201000615,243.75111362018055,188.15992790030364,3.7638228388642387,-0.006081950414269954,CRUISE,0.5156779374232225,3.7638228388642387,-0.006081950414269954,1581038.9649457838,15488.872375004928,68888.87237500492
1778.0,36.72989190121604,115.9749319447066,11129.306122037837,243.9101799869974,188.15962627662975,3.280235925714572,-0.005593172960089987,CRUISE,0.5166888637981943,3.280235925714572,-0.005593172960089987,1580551.172783449,15487.777185040923,68887.77718504092
1780.0,36.725555431083066,115.9741562537776,11141.797467255028,243.64209564624608,188.15894302484205,4.516449840975587,-0.005846767354469762,CRUISE,0.5150982001300257,4.516449840975587,-0.005846767354469762,1580064.0490010772,15486.684952835436,68886.68495283544
1782.0,36.72121679823664,115.97338024332464,11136.557891246064,243.6974340540346,188.158699343164,3.412942626749161,-0.005526236726936418,CRUISE,0.5177790435375391,3.412942626749161,-0.005526236726936418,1579576.6825742766,15485.588103218555,68885.58810321856
1784.0,36.71686944544059,115.97260275479279,11124.458974622241,244.2478056354656,188.15831041221495,2.3099760549993222,-0.005865897049034174,CRUISE,0.5172256594596538,2.3099760549993222,-0.005865897049034174,1579088.337095576,15484.491942524257,68884.49194252426
1786.0,36.712525976076726,115.97182607830136,11135.288234366528,244.014378818327,188.15754773506038,4.158891652096572,-0.005989189722342303,CRUISE,0.5117219436453438,4.158891652096572,-0.005989189722342303,1578600.4287801099,15483.406607106488,68883.40660710649
1788.0,36.70818056979239,115.97104912629764,11131.392268393649,244.07068893823543,188.15726914458438,3.4786323431011437,-0.005550293771122483,CRUISE,0.5140562118167298,3.4786323431011437,-0.005550293771122483,1578112.3032277515,15482.317238909567,68882.31723890957
